হাগদবনি,ꯍꯥꯒꯗꯕꯅꯤ
ৱাকিংদগী,ꯋꯥꯀꯤꯡꯗꯒꯤ
শিজিন্নদ্রবদি,ꯁꯤꯖꯤꯟꯅꯗꯔ꯭ꯕꯗꯤ
মল্টিসিষ্টেম,ꯃꯜꯇꯤꯁꯤꯁꯇꯦꯝ
মমৈগী,ꯃꯃꯩꯒꯤ
অহৌবা,ꯑꯍꯧꯕ
চাক্খুম্দা,ꯆꯥꯛꯈꯨꯝꯗꯥ
লৈবশিংদু,ꯂꯩꯕꯁꯤꯡꯗꯨ
ক্বালিফিকেসন,ꯀꯋ꯭ꯥꯂꯤꯐꯤꯀꯦꯁꯟ
তোংলিবদু,ꯇꯣꯡꯂꯤꯕꯗꯨ
শৈরেংগী,ꯁꯩꯔꯦꯡꯒꯤ
এসপিএসিসিভরজন,ꯑꯦꯁꯄꯤꯑꯦꯁꯤꯁꯤꯚꯔꯖꯟ
চত্থোক্কনু,ꯆꯠꯊꯣꯛꯀꯅꯨ
ঈথক্না,ꯏꯊꯛꯅꯥ
দোক্টরগী,ꯗꯣꯛꯇꯔꯒꯤ
সিষ্টেম,ꯁꯤꯁꯇꯦꯝ
মতম্দা,ꯃꯇꯝꯗ
মনীংগোং,ꯃꯅꯤꯡꯒꯣꯡ
পীরক্কনি,ꯄꯤꯔꯛꯀꯅꯤ
ইমিগ্রেসন,ꯏꯃꯤꯒꯔ꯭ꯦꯁꯟ
দেঙ্গিগী,ꯗꯦꯡꯒꯤꯒꯤ
লেঙ্গুজ,ꯂꯦꯡꯒꯨꯖ
য়াওদব,ꯌꯥꯑꯣꯗꯕ
চোইরে,ꯆꯣꯏꯔꯦ
প্রদক্ট,ꯄꯔ꯭ꯗꯛꯇ
ইল্লরোই,ꯏꯜꯂꯔꯣꯏ
ত্মণ্ঞ্চ,ꯇꯃ꯭ꯟꯟꯆ
উদনবা,ꯎꯗꯅꯕ
খায়দোক্কনি,ꯈꯥꯌꯗꯣꯛꯀꯅꯤ
তৌরক্ই,ꯇꯧꯔꯛꯏ
খুজাইকায়,ꯈꯨꯖꯥꯏꯀꯥꯌ
গ্রাহক,ꯒꯔ꯭ꯥꯍꯛ
রোদেন্ট,ꯔꯣꯗꯦꯟꯇ
কেয়রগী,ꯀꯦꯌꯔꯒꯤ
লাইনিংবশিংসে,ꯂꯥꯏꯅꯤꯡꯕꯁꯤꯡꯁꯦ
ফোসফোরিক,ꯐꯣꯁꯐꯣꯔꯤꯛ
কোন্দারেদিশীং,ꯀꯣꯟꯗꯥꯔꯦꯗꯤꯁꯤꯡ
সেগমেন্টকী,ꯁꯦꯒꯃꯦꯟꯇꯀꯤ
য়াংশিলহন্নবা,ꯌꯥꯡꯁꯤꯜꯍꯟꯅꯕ
হিবুদু,ꯍꯤꯕꯨꯗꯨ
খুদোংচাবশিংসি,ꯈꯨꯗꯣꯡꯆꯥꯕꯁꯤꯡꯁꯤ
লাইবা,ꯂꯥꯏꯕ
দিষ্ট্রিক্ট,ꯗꯤꯁꯇꯔ꯭ꯤꯛꯇ
ঙাংগনু,ꯉꯥꯡꯒꯅꯨ
চত্পিরুখো,ꯆꯠꯄꯤꯔꯨꯈꯣ
লৈখ্রবদি,ꯂꯩꯈꯔ꯭ꯕꯗꯤ
কাদগী,ꯀꯥꯗꯒꯤ
পুন্শিল্লে,ꯄꯨꯟꯁꯤꯜꯂꯦ
গুরুগী,ꯒꯨꯔꯨꯒꯤ
তঞ্ঝঞ্চঢ,ꯇꯟꯓꯟꯆꯙ
কম্পেনি,ꯀꯝꯄꯦꯅꯤ
লৈমিন্নহন্খিবোইরে,ꯂꯩꯃꯤꯟꯅꯍꯟꯈꯤꯕꯣꯏꯔꯦ
আইদেন্টিটিশিংবু,ꯑꯥꯏꯗꯦꯟꯇꯤꯇꯤꯁꯤꯡꯕꯨ
কোক্পীগনি,ꯀꯣꯛꯄꯤꯒꯅꯤ
থিরবোইরে,ꯊꯤꯔꯕꯣꯏꯔꯦ
আইদিয়াশীং,ꯑꯥꯏꯗꯤꯌꯥꯁꯤꯡ
পুরক্কদবনি,ꯄꯨꯔꯛꯀꯗꯕꯅꯤ
পাংবখক্তনি,ꯄꯥꯡꯕꯈꯛꯇꯅꯤ
স্পেসশীং,ꯁꯄ꯭ꯦꯁꯁꯤꯡ
সপোর্টিং,ꯁꯄꯣꯔꯇꯤꯡ
হ্যূমন,ꯍꯌ꯭ꯨꯃꯟ
চাংয়েংশিংদুগী,ꯆꯥꯡꯌꯦꯡꯁꯤꯡꯗꯨꯒꯤ
পাউবু,ꯄꯥꯎꯕꯨ
প্রিন্টশীং,ꯄꯔ꯭ꯤꯟꯇꯁꯤꯡ
চারিবদু,ꯆꯥꯔꯤꯕꯗꯨ
মুটেসন,ꯃꯨꯇꯦꯁꯟ
অকিবসু,ꯑꯀꯤꯕꯁꯨ
ন্যুত্রিসনেল,ꯅꯌ꯭ꯨꯇꯔ꯭ꯤꯁꯅꯦꯜ
লোজিস্তিক্স,ꯂꯣꯖꯤꯁꯇꯤꯛꯁ
গেসোলিন,ꯒꯦꯁꯣꯂꯤꯟ
রিসার্চ,ꯔꯤꯁꯥꯔꯆ
ভিজুয়েল,ꯚꯤꯖꯨꯌꯦꯜ
ৱারেপ,ꯋꯥꯔꯦꯞ
নমোম্দি,ꯅꯃꯣꯝꯗꯤ
ওদিওগী,ꯑꯣꯗꯤꯑꯣꯒꯤ
মথক্কী,ꯃꯊꯛꯀꯤ
খোংদু,ꯈꯣꯡꯗꯨ
ঈশিংগী,ꯏꯁꯤꯡꯒꯤ
লুপাসিদি,ꯂꯨꯄꯥꯁꯤꯗꯤ
ভিটামিক,ꯚꯤꯇꯥꯃꯤꯛ
লৈনগদবা,ꯂꯩꯅꯒꯗꯕ
ভেরিফিকেসন,ꯚꯦꯔꯤꯐꯤꯀꯦꯁꯟ
বেন্দএইদশীং,ꯕꯦꯟꯗꯑꯦꯏꯗꯁꯤꯡ
কোইরগী,ꯀꯣꯏꯔꯒꯤ
খোংনুংশিং,ꯈꯣꯡꯅꯨꯡꯁꯤꯡ
অসুম্নদুম,ꯑꯁꯨꯝꯅꯗꯨꯝ
দিত্রোইট,ꯗꯤꯇꯔ꯭ꯣꯏꯠ
মোর্টেলিটি,ꯃꯣꯔꯇꯦꯂꯤꯇꯤ
মাইয়োন,ꯃꯥꯏꯌꯣꯟ
হাপ্চিল্লি,ꯍꯥꯞꯆꯤꯜꯂꯤ
খুম্মেদো,ꯈꯨꯝꯃꯦꯗꯣ
পোৎফম,ꯄꯣꯠꯐꯝ
থেরাপি,ꯊꯦꯔꯥꯄꯤ
ফার্মশীং,ꯐꯥꯔꯃꯁꯤꯡ
নুমিদাংৱাইরম,ꯅꯨꯃꯤꯗꯥꯡꯋꯥꯏꯔꯝ
মওম্মী,ꯃꯑꯣꯝꯃꯤ
রাজনিতি,ꯔꯥꯖꯅꯤꯇꯤ
য়াঙ্না,ꯌꯥꯡꯅꯥ
উশীংগী,ꯎꯁꯤꯡꯒꯤ
অশ্ৱাই,ꯑꯁꯋꯥꯏ
আইওদাইজ,ꯑꯥꯏꯑꯣꯗꯥꯏꯖ
রেদিয়স,ꯔꯦꯗꯤꯌꯁ
লৈবজাৎনি,ꯂꯩꯕꯖꯥꯠꯅꯤ
সবস্কিম,ꯁꯕꯁꯀꯤꯝ
চার্জশীং,ꯆꯥꯔꯖꯁꯤꯡ
পেরাসাইটিক,ꯄꯦꯔꯥꯁꯥꯏꯇꯤꯛ
অদুক্ক্কী,ꯑꯗꯨꯛꯀꯀꯤ
সাউদর্ন,ꯁꯥꯎꯗꯔꯅ
ন্বাঙ্খৈ,ꯅꯋ꯭ꯥꯡꯈꯩ
সিমিত্রিকেল,ꯁꯤꯃꯤꯇꯔ꯭ꯤꯀꯦꯜ
ঞ্ঝঞ্চডণ্ণ,ꯟꯓ꯭ꯟꯆꯗꯟꯅ
লাতোন্দগী,ꯂꯥꯇꯣꯟꯗꯒꯤ
মণিপুরসে,ꯃꯅꯤꯄꯨꯔꯁꯦ
মায়্থোং,ꯃꯥꯌꯊꯣꯡ
থীংনবা,ꯊꯤꯡꯅꯕ
পোকফম,ꯄꯣꯛꯐꯝ
চিংখৎ,ꯆꯤꯡꯈꯠ
পাকচাউহন্নবগীদমক,ꯄꯥꯛꯆꯥꯎꯍꯟꯅꯕꯒꯤꯗꯃꯛ
তরুক,ꯇꯔꯨꯛ
লৈশাবী,ꯂꯩꯁꯥꯕꯤ
ভেজেটেটিভ,ꯚꯦꯖꯦꯇꯦꯇꯤꯚ
ত্রাফিক্কীং,ꯇꯔ꯭ꯥꯐꯤꯛꯀꯤꯡ
অৱামন,ꯑꯋꯥꯃꯟ
হৌহৌরবদি,ꯍꯧꯍꯧꯔꯕꯗꯤ
কাউপি,ꯀꯥꯎꯄꯤ
য়াবনি,ꯌꯥꯕꯅꯤ
লাইভলিহুদ,ꯂꯥꯏꯚꯂꯤꯍꯨꯗ
য়ুনিফোর্মগী,ꯌꯨꯅꯤꯐꯣꯔꯃꯒꯤ
তম্মবোইরে,ꯇꯝꯃꯕꯣꯏꯔꯦ
চেন্নখ্রেদো,ꯆꯦꯟꯅꯈꯔ꯭ꯦꯗꯣ
ওন্বগী,ꯑꯣꯟꯕꯒꯤ
সিঞ্চন,ꯁꯤꯟꯆꯟ
বেনিফিসরিশিংগী,ꯕꯦꯅꯤꯐꯤꯁꯔꯤꯁꯤꯡꯒꯤ
রিজোর্পসন,ꯔꯤꯖꯣꯔꯄꯁꯟ
হ্যুমিক,ꯍꯌ꯭ꯨꯃꯤꯛ
বাইওদাইভর্সিটি,ꯕꯥꯏꯑꯣꯗꯥꯏꯚꯔꯁꯤꯇꯤ
তোরেন্সিএল,ꯇꯣꯔꯦꯟꯁꯤꯑꯦꯜ
রাইটাগী,ꯔꯥꯏꯇꯥꯒꯤ
লৈমিন্নরম্মী,ꯂꯩꯃꯤꯟꯅꯔꯝꯃꯤ
খঙ্দ্রেদো,ꯈꯡꯗꯔ꯭ꯦꯗꯣ
পীবগী,ꯄꯤꯕꯒꯤ
রেকোর্দশীং,ꯔꯦꯀꯣꯔꯗꯁꯤꯡ
খূত্শুখূতলায়শিং,ꯈꯨꯠꯁꯨꯈꯨꯠꯂꯥꯌꯁꯤꯡ
লৈরম্গে,ꯂꯩꯔꯝꯒꯦ
লম্শাদুগী,ꯂꯝꯁꯥꯗꯨꯒꯤ
লম্না,ꯂꯝꯅ
য়াওরি,ꯌꯥꯑꯣꯔꯤ
ৱার্নিং,ꯋꯥꯔꯅꯤꯡ
শিংসু,ꯁꯤꯡꯁꯨ
দাইরেক্টর,ꯗꯥꯏꯔꯦꯛꯇꯔ
লম্কেত,ꯂꯝꯀꯦꯠ
লাক্ষকী,ꯂꯥꯛꯁꯀꯤ
রিভোল্যুসন,ꯔꯤꯚꯣꯂꯌ꯭ꯨꯁꯟ
গুজরাৎকী,ꯒꯨꯖꯔꯥꯠꯀꯤ
য়ুজেনিক্স,ꯌꯨꯖꯦꯅꯤꯛꯁ
য়েংবকাইসি,ꯌꯦꯡꯕꯀꯥꯏꯁꯤ
হাওশি,ꯍꯥꯑꯣꯁꯤ
কনশীনহন্দ্রিবমখৈ,ꯀꯟꯁꯤꯟꯍꯟꯗꯔ꯭ꯤꯕꯃꯈꯩ
খোঙ্চত্,ꯈꯣꯡꯆꯠ
কুংবা,ꯀꯨꯡꯕ
মাংনিঙাই,ꯃꯥꯡꯅꯤꯉꯥꯏ
থেংথগনু,ꯊꯦꯡꯊꯒꯅꯨ
হায়্জনীংবনে,ꯍꯥꯌꯖꯅꯤꯡꯕꯅꯦ
অশিঅনাশীং,ꯑꯁꯤꯑꯅꯥꯁꯤꯡ
শেংদোকই,ꯁꯦꯡꯗꯣꯛꯏ
হংলি,ꯍꯪꯂꯤ
জুয়াংশীং,ꯖꯨꯌꯥꯡꯁꯤꯡ
নীনীগী,ꯅꯤꯅꯤꯒꯤ
খল্লিবদো,ꯈꯜꯂꯤꯕꯗꯣ
ৱাখললৌশিংগা,ꯋꯥꯈꯜꯂꯧꯁꯤꯡꯒ
ভাইরসশীং,ꯚꯥꯏꯔꯁꯁꯤꯡ
ইন্দাষ্ট্রিশিংদগী,ꯏꯟꯗꯥꯁꯇꯔ꯭ꯤꯁꯤꯡꯗꯒꯤ
ডিল্লিগী,ꯗꯤꯜꯂꯤꯒꯤ
রিসেদ্যুল,ꯔꯤꯁꯦꯗꯌ꯭ꯨꯜ
লৈগনবা,ꯂꯩꯒꯟꯕ
সেক্যুরিট,ꯁꯦꯀꯌ꯭ꯨꯔꯤꯠ
শারংশিংদু,ꯁꯥꯔꯪꯁꯤꯡꯗꯨ
ইন্দিয়ানস,ꯏꯟꯗꯤꯌꯥꯟꯁ
কোওর্দিনেট,ꯀꯣꯑꯣꯔꯗꯤꯅꯦꯠ
শেন্নরম্মী,ꯁꯦꯟꯅꯔꯝꯃꯤ
লোনশীংদা,ꯂꯣꯟꯁꯤꯡꯗ
হোন্দোক্পা,ꯍꯣꯟꯗꯣꯛꯄꯥ
ন্বারবসু,ꯅꯋ꯭ꯥꯔꯕꯁꯨ
ইন্তরেস্তকী,ꯏꯟꯇꯔꯦꯁꯇꯀꯤ
ইমেজশীংগী,ꯏꯃꯦꯖꯁꯤꯡꯒꯤ
হোত্নরিবদু,ꯍꯣꯠꯅꯔꯤꯕꯗꯨ
চেনেল,ꯆꯦꯅꯦꯜ
খল্লিবনো,ꯈꯜꯂꯤꯕꯅꯣ
মেথদনি,ꯃꯦꯊꯗꯅꯤ
পীরিবনি,ꯄꯤꯔꯤꯕꯅꯤ
হাপ্চিল্লুরে,ꯍꯥꯞꯆꯤꯜꯂꯨꯔꯦ
হোংদোক্ত্রিবমখৈদি,ꯍꯣꯡꯗꯣꯛꯇꯔ꯭ꯤꯕꯃꯈꯩꯗꯤ
পোত্শিংদু,ꯄꯣꯠꯁꯤꯡꯗꯨ
জিলাশিং,ꯖꯤꯂꯥꯁꯤꯡ
শাবনি,ꯁꯥꯕꯅꯤ
থাজদবগী,ꯊꯥꯖꯗꯕꯒꯤ
মাউন্দু,ꯃꯥꯎꯟꯗꯨ
মাংথরকপদু,ꯃꯥꯡꯊꯔꯛꯄꯗꯨ
রাউঃদগী,ꯔꯥꯎঃꯗꯒꯤ
মাষ্টর,ꯃꯥꯁꯇꯔ
লেল্লক্পসি,ꯂꯦꯜꯂꯛꯄꯁꯤ
থাইরোইদ,ꯊꯥꯏꯔꯣꯏꯗ
শুম্হত্খ্রেদো,ꯁꯨꯝꯍꯠꯈꯔ꯭ꯦꯗꯣ
তারক্পদগী,ꯇꯥꯔꯛꯄꯗꯒꯤ
রাজিশীং,ꯔꯥꯖꯤꯁꯤꯡ
সম্পর্কিত,ꯁꯝꯄꯔꯀꯤꯠ
লৈরসি,ꯂꯩꯔꯁꯤ
অথিংবশিং,ꯑꯊꯤꯡꯕꯁꯤꯡ
তম্নহীরম,ꯇꯝꯅꯍꯤꯔꯝ
ঙাইরিবশীং,ꯉꯥꯏꯔꯤꯕꯁꯤꯡ
তাইমিং,ꯇꯥꯏꯃꯤꯡ
য়েন্গে,ꯌꯦꯟꯒꯦ
চত্থবনি,ꯆꯠꯊꯕꯅꯤ
কেমিষ্ট,ꯀꯦꯃꯤꯁꯇ
চাথোক্পগী,ꯆꯥꯊꯣꯛꯄꯒꯤ
গারিদগী,ꯒꯥꯔꯤꯗꯒꯤ
ট্রান্সলেশন,ꯇꯔ꯭ꯥꯟꯁꯂꯦꯁꯟ
লেম্থোক্পা,ꯂꯦꯝꯊꯣꯛꯄꯥ
এজেন্সিশিংসি,ꯑꯦꯖꯦꯟꯁꯤꯁꯤꯡꯁꯤ
ফাগৎলে,ꯐꯥꯒꯠꯂꯦ
হৈক্রু,ꯍꯩꯀꯔ꯭ꯨ
লাইওংশীং,ꯂꯥꯏꯑꯣꯡꯁꯤꯡ
অমাংবদু,ꯑꯃꯥꯡꯕꯗꯨ
শিজিন্নদবগী,ꯁꯤꯖꯤꯟꯅꯗꯕꯒꯤ
থোক্পা,ꯊꯣꯛꯄꯥ
ইতাওগীসিদি,ꯏꯇꯥꯑꯣꯒꯤꯁꯤꯗꯤ
ভিটামিন,ꯚꯤꯇꯥꯃꯤꯟ
মাইভিজিট,ꯃꯥꯏꯚꯤꯖꯤꯠ
থাদোক্খ্রো,ꯊꯥꯗꯣꯛꯈꯔ꯭ꯣ
মীতৈশিং,ꯃꯤꯇꯩꯁꯤꯡ
পাউতাক্তি,ꯄꯥꯎꯇꯥꯛꯇꯤ
সোসাইতি,ꯁꯣꯁꯥꯏꯇꯤ
চংলিবনি,ꯆꯪꯂꯤꯕꯅꯤ
ইলেক্ট্রোনিক,ꯏꯂꯦꯛꯇꯔ꯭ꯣꯅꯤꯛ
এন্টিদোট,ꯑꯦꯟꯇꯤꯗꯣꯠ
পেষ্টিসাইদ,ꯄꯦꯁꯇꯤꯁꯥꯏꯗ
তৌশিল্লি,ꯇꯧꯁꯤꯜꯂꯤ
যোগহর্ট,ꯌꯣꯒꯍꯔꯇ
তিংগদবনি,ꯇꯤꯡꯒꯗꯕꯅꯤ
কম্মর্চারি,ꯀꯝꯃꯔꯆꯥꯔꯤ
সাইবরষ্টোকিংগী,ꯁꯥꯏꯕꯔꯁꯇꯣꯀꯤꯡꯒꯤ
এক্সপোজরগী,ꯑꯦꯛꯁꯄꯣꯖꯔꯒꯤ
সুবেদার,ꯁꯨꯕꯦꯗꯥꯔ
ৱারোলশিং,ꯋꯥꯔꯣꯜꯁꯤꯡ
ঙম্বগী,ꯉꯝꯕꯒꯤ
কনেক্টিভিটি,ꯀꯅꯦꯛꯇꯤꯚꯤꯇꯤ
কাংখোং,ꯀꯥꯡꯈꯣꯡ
মখোয়শীংদু,ꯃꯈꯣꯌꯁꯤꯡꯗꯨ
রোংমৈগী,ꯔꯣꯡꯃꯩꯒꯤ
লৌমীশিন্মী,ꯂꯧꯃꯤꯁꯤꯟꯃꯤ
ম্যুজিকেল,ꯃꯌ꯭ꯨꯖꯤꯀꯦꯜ
কামারাজ,ꯀꯥꯃꯥꯔꯥꯖ
হিংবগী,ꯍꯤꯡꯕꯒꯤ
হায়্নাবদগী,ꯍꯥꯌꯅꯥꯕꯗꯒꯤ
হোলশীং,ꯍꯣꯜꯁꯤꯡ
শোয়নাইবগীদি,ꯁꯣꯌꯅꯥꯏꯕꯒꯤꯗꯤ
ওফিসশীংগী,ꯑꯣꯐꯤꯁꯁꯤꯡꯒꯤ
হেনরি,ꯍꯦꯅꯔꯤ
প্রোপেগেটিং,ꯄꯔ꯭ꯣꯄꯦꯒꯦꯇꯤꯡ
স্তেন্দর,ꯁꯇ꯭ꯦꯟꯗꯔ
পায়বশীংদদি,ꯄꯥꯌꯕꯁꯤꯡꯗꯗꯤ
লাকএ,ꯂꯥꯛꯑꯦ
খংদবসু,ꯈꯪꯗꯕꯁꯨ
ঙরাংগুম্না,ꯉꯔꯥꯡꯒꯨꯝꯅꯥ
মিদসেক্সন,ꯃꯤꯗꯁꯦꯛꯁꯟ
এৱারনেস,ꯑꯦꯋꯥꯔꯅꯦꯁ
মচিনা,ꯃꯆꯤꯅ
তেরোরিজম,ꯇꯦꯔꯣꯔꯤꯖꯝ
এটেক্করশীং,ꯑꯦꯇꯦꯛꯀꯔꯁꯤꯡ
তুরান্,ꯇꯨꯔꯥꯟ
তেলিকোম,ꯇꯦꯂꯤꯀꯣꯝ
জগোয়,ꯖꯒꯣꯌ
বেদান্ত,ꯕꯦꯗꯥꯟꯇ
য়ারগনি,ꯌꯥꯔꯒꯅꯤ
এমোবিক,ꯑꯦꯃꯣꯕꯤꯛ
ফোর্ম্যুলেসন,ꯐꯣꯔꯃꯌ꯭ꯨꯂꯦꯁꯟ
থাজনবা,ꯊꯥꯖꯅꯕ
নরেঃদ্র,ꯅꯔꯦঃꯗꯔ꯭
প্রোসিদিং,ꯄꯔ꯭ꯣꯁꯤꯗꯤꯡ
তরুক্নি,ꯇꯔꯨꯛꯅꯤ
মীমান্নদ্রবী,ꯃꯤꯃꯥꯟꯅꯗꯔ꯭ꯕꯤ
তিংলো,ꯇꯤꯡꯂꯣ
থোকপী,ꯊꯣꯛꯄꯤ
নোংচূপ,ꯅꯣꯡꯆꯨꯞ
পাল্লকেদো,ꯄꯥꯜꯂꯀꯦꯗꯣ
শেমগৎনবগীদমক্তদি,ꯁꯦꯝꯒꯠꯅꯕꯒꯤꯗꯃꯛꯇꯗꯤ
অয়াবদু,ꯑꯌꯥꯕꯗꯨ
পুথোকই,ꯄꯨꯊꯣꯛꯏ
হায়বদুদি,ꯍꯥꯌꯕꯗꯨꯗꯤ
ঈংখরে,ꯏꯡꯈꯔꯦ
ভর্জন্দি,ꯚꯔꯖꯟꯗꯤ
লোকেসন,ꯂꯣꯀꯦꯁꯟ
বেলেন্সবু,ꯕꯦꯂꯦꯟꯁꯕꯨ
ত্রিমালাগী,ꯇꯔ꯭ꯤꯃꯥꯂꯥꯒꯤ
য়াদবদগী,ꯌꯥꯗꯕꯗꯒꯤ
নাক্তা,ꯅꯥꯛꯇꯥ
ঙায়রি,ꯉꯥꯌꯔꯤ
রিকোভর,ꯔꯤꯀꯣꯚꯔ
কন্টিন্যুইং,ꯀꯟꯇꯤꯅꯌ꯭ꯨꯏꯡ
খুম্গে,ꯈꯨꯝꯒꯦ
মেদিকেল্লি,ꯃꯦꯗꯤꯀꯦꯜꯂꯤ
এপোইন্টমেন্টগী,ꯑꯦꯄꯣꯏꯟꯇꯃꯦꯟꯇꯒꯤ
লৌথোক্পগী,ꯂꯧꯊꯣꯛꯄꯒꯤ
ইমুংসিগী,ꯏꯃꯨꯡꯁꯤꯒꯤ
খল্লম্মী,ꯈꯜꯂꯝꯃꯤ
তান্নরে,ꯇꯥꯟꯅꯔꯦ
ছতিসগর,ꯁꯇꯤꯁꯒꯔ
পাউখুম,ꯄꯥꯎꯈꯨꯝ
তৌদবা,ꯇꯧꯗꯕ
মীওইদুগী,ꯃꯤꯑꯣꯏꯗꯨꯒꯤ
শেয়রগী,ꯁꯦꯌꯔꯒꯤ
পঙ্খ্রে,ꯄꯡꯈꯔ꯭ꯦ
হায়্রবসু,ꯍꯥꯌꯔ꯭ꯕꯁꯨ
ওভরৱেট,ꯑꯣꯚꯔꯋꯦꯠ
নম্নরে,ꯅꯝꯅꯔꯦ
হরাওগী,ꯍꯔꯥꯑꯣꯒꯤ
তেক্নোলোজি,ꯇꯦꯛꯅꯣꯂꯣꯖꯤ
মহৈদগী,ꯃꯍꯩꯗꯒꯤ
ফদনা,ꯐꯗꯅ
পর্সোনেলিটি,ꯄꯔꯁꯣꯅꯦꯂꯤꯇꯤ
পেমেন্টকী,ꯄꯦꯃꯦꯟꯇꯀꯤ
মখোয়্গী,ꯃꯈꯣꯌꯒꯤ
সঙ্গথন,ꯁꯡꯒꯊꯟ
বেলেন্স,ꯕꯦꯂꯦꯟꯁ
সুনামিরেসিষ্টেন্ট,ꯁꯨꯅꯥꯃꯤꯔꯦꯁꯤꯁꯇꯦꯟꯇ
ৱাফম্নো,ꯋꯥꯐꯝꯅꯣ
মাইকোরিজে,ꯃꯥꯏꯀꯣꯔꯤꯖꯦ
ওফেন্সশীংসি,ꯑꯣꯐꯦꯟꯁꯁꯤꯡꯁꯤ
করেসপোন্দেন্ট,ꯀꯔꯦꯁꯄꯣꯟꯗꯦꯟꯇ
পেট্টর্নশিংগী,ꯄꯦꯠꯇꯔꯅꯁꯤꯡꯒꯤ
ফিজিগী,ꯐꯤꯖꯤꯒꯤ
চাউরেন্না,ꯆꯥꯎꯔꯦꯟꯅꯥ
খুনাইগী,ꯈꯨꯅꯥꯏꯒꯤ
সিঙ্গাপুর,ꯁꯤꯡꯒꯥꯄꯨꯔ
কপ্পেদো,ꯀꯞꯄꯦꯗꯣ
অহৈবম,ꯑꯍꯩꯕꯝ
শায়েনদু,ꯁꯥꯌꯦꯟꯗꯨ
স্প্রেয়রশীং,ꯁꯄ꯭ꯔ꯭ꯦꯌꯔꯁꯤꯡ
খূত্শুখূতলায়গী,ꯈꯨꯠꯁꯨꯈꯨꯠꯂꯥꯌꯒꯤ
শেন্নরবদি,ꯁꯦꯟꯅꯔꯕꯗꯤ
চংজফম,ꯆꯪꯖꯐꯝ
কোক্থোংদো,ꯀꯣꯛꯊꯣꯡꯗꯣ
মমান্নবী,ꯃꯃꯥꯟꯅꯕꯤ
য়ানিংদে,ꯌꯥꯅꯤꯡꯗꯦ
হিল্লক্কদবনি,ꯍꯤꯜꯂꯛꯀꯗꯕꯅꯤ
এরিয়েল,ꯑꯦꯔꯤꯌꯦꯜ
পীদবদগীদি,ꯄꯤꯗꯕꯗꯒꯤꯗꯤ
খুমাঙ,ꯈꯨꯃꯥꯡ
খুনাইরোল,ꯈꯨꯅꯥꯏꯔꯣꯜ
হন্দোকখিবা,ꯍꯟꯗꯣꯛꯈꯤꯕ
মফমসিদসু,ꯃꯐꯝꯁꯤꯗꯁꯨ
মাঙ্জনি,ꯃꯥꯡꯖꯅꯤ
তৌরানি,ꯇꯧꯔꯥꯅꯤ
এদোপসন,ꯑꯦꯗꯣꯞꯁꯟ
অথোইবনি,ꯑꯊꯣꯏꯕꯅꯤ
ইকায়,ꯏꯀꯥꯌ
পায়্খিবোইরে,ꯄꯥꯌꯈꯤꯕꯣꯏꯔꯦ
সমাজনি,ꯁꯃꯥꯖꯅꯤ
হিংমিন্নবগী,ꯍꯤꯡꯃꯤꯟꯅꯕꯒꯤ
চাইখাইরে,ꯆꯥꯏꯈꯥꯏꯔꯦ
ফগৎহল্লি,ꯐꯒꯠꯍꯜꯂꯤ
শক্ফম্নে,ꯁꯛꯐꯝꯅꯦ
লোলদা,ꯂꯣꯜꯗ
পাউশিং,ꯄꯥꯎꯁꯤꯡ
হায়রিবদু,ꯍꯥꯌꯔꯤꯕꯗꯨ
আইলেন্দ,ꯑꯥꯏꯂꯦꯟꯗ
প্রোতেক্তর,ꯄꯔ꯭ꯣꯇꯦꯛꯇꯔ
রুমদা,ꯔꯨꯝꯗ
য়ূমশিং,ꯌꯨꯝꯁꯤꯡ
সবস্ক্রাইব,ꯁꯕꯁꯀꯔ꯭ꯥꯏꯕ
রিজল্ট,ꯔꯤꯖꯜꯇ
গ্রাওন্দ,ꯒꯔ꯭ꯥꯑꯣꯟꯗ
হৌরগনি,ꯍꯧꯔꯒꯅꯤ
তঙাইফদবনি,ꯇꯉꯥꯏꯐꯗꯕꯅꯤ
নোমেদিক,ꯅꯣꯃꯦꯗꯤꯛ
য়ৌরকই,ꯌꯧꯔꯛꯏ
খংদোক্নবগী,ꯈꯪꯗꯣꯛꯅꯕꯒꯤ
চাদুনা,ꯆꯥꯗꯨꯅ
তরাম্না,ꯇꯔꯥꯝꯅꯥ
হায়ব্রিদ,ꯍꯥꯌꯕꯔ꯭ꯤꯗ
কোকথোং,ꯀꯣꯛꯊꯣꯡ
থাজবসু,ꯊꯥꯖꯕꯁꯨ
ফিলান্ত্রোপিক,ꯐꯤꯂꯥꯟꯇꯔ꯭ꯣꯄꯤꯛ
সেকেন্দ,ꯁꯦꯀꯦꯟꯗ
প্রোগ্রেসিভ,ꯄꯔ꯭ꯣꯒꯔ꯭ꯦꯁꯤꯚ
অসিগীসু,ꯑꯁꯤꯒꯤꯁꯨ
ভেরাইটিশীং,ꯚꯦꯔꯥꯏꯇꯤꯁꯤꯡ
মরিরক,ꯃꯔꯤꯔꯛ
মীতৈগী,ꯃꯤꯇꯩꯒꯤ
গ্লোবশীং,ꯒꯂ꯭ꯣꯕꯁꯤꯡ
অকায়অতোইশিং,ꯑꯀꯥꯌꯑꯇꯣꯏꯁꯤꯡ
